QM Energy	FF Energy
    -0.000200586    -0.000173172
     -0.00103725    -0.000824946
    -0.000401016    -0.000448126
     -0.00118531      -0.0011841
     -2.0748e-05     -1.6179e-05
     -0.00074874    -0.000790518
    -0.000198757    -0.000183283
    -0.000630986    -0.000518179
     -8.5602e-05    -7.25507e-05
     -2.3313e-05    -2.08269e-05
    -0.000102601    -0.000134394
     -0.00208916     -0.00216586
     -0.00015464     -0.00014369
    -0.000718912      -0.0006376
     -2.4602e-05    -2.08751e-05
    -0.000106394    -8.93246e-05
     -0.00109797      -0.0011638
     -1.7805e-05    -2.37295e-05
     -2.2776e-05    -1.66483e-05
     -0.00042157    -0.000455095
    -0.000777746    -0.000749765
    -0.000195157    -0.000184116
     -3.7367e-05    -3.93585e-05
    -0.000856666    -0.000726215
     -2.9629e-05    -3.50379e-05
     -1.3294e-05    -1.93503e-05
     -3.8332e-05    -4.32952e-05
    -0.000365499     -0.00030112
     -0.00138489     -0.00147762
    -0.000259362    -0.000267484
     -7.4441e-05    -8.78713e-05
    -0.000727107    -0.000799559
    -0.000273169    -0.000225275
     -0.00100243     -0.00102514
    -0.000492868    -0.000565921
    -0.000342547    -0.000399546
     -1.4909e-05    -2.70824e-05
    -0.000292524     -0.00026231
     -0.00142345     -0.00125815
    -0.000161354      -0.0001376
     -9.8003e-05     -0.00012847
      -3.944e-05    -5.11235e-05
     -3.5145e-05    -4.38824e-05
     -9.1641e-05    -9.16779e-05
    -0.000225112    -0.000166669
     -2.8988e-05    -3.58709e-05
     -9.0534e-05    -0.000121021
     -0.00113464     -0.00125122
       -0.001283     -0.00139102
    -0.000744911    -0.000630986
    -0.000381347    -0.000403031
     -7.3575e-05    -8.14433e-05
    -0.000511781    -0.000572494
     -0.00122438     -0.00100775
    -0.000278769    -0.000233639
     -4.8153e-05    -4.62771e-05
     -1.1834e-05    -1.84023e-05
    -0.000866932    -0.000703158
     -0.00143832     -0.00123865
     -3.4277e-05    -4.03383e-05
     -6.9075e-05    -6.39414e-05
    -0.000871482    -0.000984279
    -0.000319612     -0.00040869
     -8.5074e-05    -5.22907e-05
    -0.000980504    -0.000840984
    -0.000254181    -0.000273652
    -0.000190681    -0.000186629
     -4.7692e-05    -5.63271e-05
    -0.000502871     -0.00054554
    -0.000432238    -0.000533198
    -0.000212457    -0.000274511
     -3.2028e-05     -3.1541e-05
     -6.8749e-05    -7.75905e-05
    -0.000702271    -0.000747957
     -0.00213527     -0.00221635
     -3.6779e-05    -4.47571e-05
     -9.0239e-05    -9.60295e-05
    -0.000174903    -0.000226773
    -0.000865415    -0.000744251
      -0.0016628     -0.00178403
    -0.000341155    -0.000330103
    -0.000194561    -0.000222463
    -0.000654682    -0.000627483
    -0.000351364    -0.000286585
    -0.000271294    -0.000298307
    -0.000602908    -0.000542867
     -0.00034704    -0.000250813
    -0.000163158    -0.000162933
    -0.000556599    -0.000474648
    -0.000449681    -0.000514136
     -6.6349e-05    -5.86181e-05
     -0.00176181     -0.00151375
     -4.9524e-05    -6.20538e-05
    -0.000742874     -0.00064513
    -0.000354522    -0.000348081
    -0.000842859    -0.000872754
    -0.000758029     -0.00056452
    -0.000186454    -0.000169531
      -0.0011896     -0.00113169
     -4.6404e-05    -4.00032e-05
     -3.1681e-05     -3.2775e-05
    -0.000326026    -0.000241759
    -0.000300399     -0.00037273
    -0.000158066    -0.000177564
    -0.000136249    -0.000161528
    -0.000557973    -0.000472999
     -0.00144932     -0.00122876
    -0.000270889    -0.000330517
    -0.000575225    -0.000591328
    -0.000933766    -0.000983163
    -0.000574206    -0.000498524
    -0.000831337    -0.000705098
    -0.000837938    -0.000809377
    -0.000348308     -0.00044335
    -0.000473097    -0.000356127
    -0.000328931    -0.000333383
     -1.6366e-05    -1.92493e-05
     -0.00047165    -0.000456761
      -0.0008354    -0.000923294
     -0.00151623     -0.00139005
     -0.00167271     -0.00149773
     -0.00227057     -0.00216127
     -2.8702e-05    -3.14422e-05
    -0.000333026    -0.000338381
    -0.000983493     -0.00100916
    -0.000967468     -0.00100508
     -6.4561e-05    -5.94404e-05
      -5.789e-05    -7.32082e-05
     -0.00142326     -0.00127665
     -0.00137029     -0.00136249
    -0.000310919    -0.000299724
     -0.00151997     -0.00127796
     -0.00043412    -0.000334435
      -8.569e-05    -8.69315e-05
    -0.000112005     -0.00011401
     -1.2449e-05    -1.46162e-05
     -4.1024e-05    -3.53523e-05
      -3.155e-05    -2.82187e-05
    -0.000199419    -0.000184798
    -0.000516244    -0.000570485
    -0.000598041    -0.000578116
     -0.00116075     -0.00112479
     -1.8499e-05    -1.91227e-05
    -0.000305385    -0.000369206
    -0.000200391    -0.000167573
     -0.00030847    -0.000295199
     -2.7083e-05    -3.48112e-05
     -4.2085e-05    -4.94196e-05
     -0.00129701     -0.00110036
      -0.0005328    -0.000491408
    -0.000120889     -0.00012142
     -1.9998e-05     -2.0907e-05
    -0.000518231    -0.000488865
     -2.4234e-05    -1.97796e-05
     -0.00132977     -0.00115491
    -0.000129653    -0.000122319
    -0.000425032    -0.000461974
    -0.000619243    -0.000767767
     -0.00262723     -0.00261251
    -0.000157058    -0.000136259
     -0.00137422     -0.00120192
    -0.000855402    -0.000844247
     -5.7661e-05    -6.97345e-05
      -9.828e-05    -0.000127069
     -4.8293e-05    -3.81498e-05
     -3.9034e-05    -4.80467e-05
      -5.974e-05    -7.56634e-05
     -8.0191e-05    -6.81359e-05
     -0.00128273     -0.00118865
    -0.000464649    -0.000502598
     -9.2534e-05    -7.20446e-05
    -0.000309002     -0.00034017
    -0.000539865    -0.000522558
     -3.7616e-05    -4.41552e-05
    -0.000128168     -0.00011467
     -0.00113761     -0.00125629
    -0.000780326    -0.000813558
    -0.000302334    -0.000328374
     -0.00023898    -0.000241921
     -5.7708e-05     -4.6312e-05
    -0.000313554    -0.000332348
    -0.000120936    -0.000140355
     -4.0351e-05    -3.77158e-05
     -5.8326e-05    -6.64636e-05
    -0.000772676      -0.0008189
     -1.7961e-05    -1.93505e-05
     -5.5256e-05    -5.99912e-05
      -3.629e-05    -3.51498e-05
    -0.000131385    -0.000135255
    -0.000575563    -0.000464677
    -0.000671138    -0.000592598
    -0.000115731    -0.000136747
      -0.0005946    -0.000489313
     -2.1856e-05    -2.26045e-05
    -0.000106979    -0.000137331
     -6.8792e-05     -7.6989e-05
    -0.000218148    -0.000209996
     -2.9335e-05    -4.36408e-05
      -1.979e-05    -1.64871e-05
     -0.00173248     -0.00182101
     -2.4343e-05    -3.00542e-05
    -0.000139271    -0.000188764
    -0.000366398    -0.000453734
      -1.919e-05    -2.88581e-05
    -0.000391958    -0.000462028
     -2.3757e-05    -2.22924e-05
     -3.9806e-05    -5.06305e-05
    -0.000569342    -0.000508746
    -0.000359344    -0.000277266
     -0.00123627     -0.00109366
     -8.9976e-05    -0.000105311
     -1.0957e-05    -1.83481e-05
     -2.4555e-05    -2.99925e-05
     -3.6532e-05    -3.20151e-05
     -2.7873e-05    -4.05165e-05
    -0.000249538    -0.000274891
    -0.000884434    -0.000881725
    -0.000127512    -0.000157632
     -4.0821e-05    -3.57966e-05
    -0.000434106    -0.000448207
     -0.00109473    -0.000771459
    -0.000304055    -0.000309644
     -8.2638e-05    -8.38986e-05
    -0.000254102    -0.000332707
     -5.9287e-05    -4.99538e-05
    -0.000136044    -0.000166577
      -0.0015528     -0.00125201
    -0.000332894    -0.000350803
    -0.000544072    -0.000539445
     -0.00091104    -0.000850901
     -0.00115754    -0.000970935
    -0.000252301    -0.000254961
    -0.000182777    -0.000135008
    -0.000323594    -0.000300045
     -0.00201593      -0.0020227
    -0.000488063     -0.00050048
    -0.000152503    -0.000204762
     -0.00216366      -0.0022817
     -0.00129408     -0.00105061
     -0.00277974     -0.00249513
     -0.00164342     -0.00148007
     -5.2399e-05    -7.58842e-05
     -1.5758e-05    -2.16866e-05
    -0.000441255    -0.000333273
    -0.000151975    -0.000146249
    -0.000142007    -0.000187845
     -4.2258e-05    -4.12902e-05
    -0.000135344    -0.000178993
    -0.000226682    -0.000213303
     -0.00118403    -0.000957112
    -0.000459441    -0.000477601
     -0.00217179     -0.00225496
    -0.000817644    -0.000654738
    -0.000322692     -0.00028135
    -0.000368189    -0.000308936
     -3.6696e-05    -3.10192e-05
      -0.0025943     -0.00288466
     -1.3402e-05       -1.37e-05
    -0.000205063    -0.000217095
     -0.00139363     -0.00122006
     -2.4128e-05    -2.54073e-05
     -5.4003e-05    -7.04524e-05
    -0.000208186    -0.000246779
    -0.000241309    -0.000187643
    -0.000301455    -0.000309587
    -0.000238534    -0.000242039
     -2.0557e-05    -2.48726e-05
     -3.2457e-05    -3.76544e-05
      -3.655e-05    -4.80153e-05
     -6.2458e-05     -7.4577e-05
    -0.000632854    -0.000664498
     -0.00154657     -0.00162728
     -4.0921e-05    -5.44171e-05
    -0.000174716    -0.000166966
    -0.000540463    -0.000574513
      -2.992e-05    -3.64126e-05
     -0.00106928     -0.00120054
    -0.000233292    -0.000218542
     -1.9069e-05    -1.90882e-05
    -0.000301766    -0.000235725
     -4.3276e-05    -5.36189e-05
    -0.000365526    -0.000353346
     -0.00242126     -0.00225087
    -0.000799478    -0.000650648
    -0.000491527    -0.000387587
     -1.3997e-05    -1.80389e-05
     -6.6128e-05    -7.32522e-05
     -3.9221e-05    -4.73104e-05
    -0.000622825    -0.000523334
    -0.000729768    -0.000675794
     -0.00118966     -0.00124712
    -0.000315737    -0.000348497
    -0.000264905    -0.000296343
     -0.00172954     -0.00167259
     -2.0798e-05    -2.42552e-05
     -0.00079403    -0.000583847
     -7.7344e-05    -8.52497e-05
     -0.00151454     -0.00125061
    -0.000363761    -0.000393159
     -2.6684e-05    -3.27713e-05
     -4.1494e-05    -3.90359e-05
     -0.00012868    -0.000106374
    -0.000342015    -0.000352848
      -6.153e-05    -8.48523e-05
     -4.6968e-05    -5.02295e-05
    -0.000276793    -0.000336818
    -0.000364782    -0.000345027
     -4.0881e-05    -4.68013e-05
     -0.00104677    -0.000985679
     -6.0879e-05    -7.65266e-05
     -4.5063e-05    -4.00998e-05
    -0.000813829    -0.000581986
     -9.2662e-05    -9.40383e-05
    -0.000247399    -0.000233013
    -0.000320381    -0.000380604
     -0.00166799     -0.00144882
     -5.0463e-05    -6.58671e-05
     -1.5534e-05    -1.80555e-05
    -0.000337206    -0.000255424
    -0.000291802     -0.00034745
     -0.00033777    -0.000412752
    -0.000180046    -0.000221913
    -0.000376374    -0.000383021
     -2.5852e-05    -3.59245e-05
      -2.144e-05      -1.905e-05
    -0.000408527    -0.000378361
     -1.8067e-05    -1.95098e-05
     -0.00159832      -0.0016323
     -2.5589e-05    -2.06893e-05
       -1.53e-05    -2.63939e-05
    -0.000249496    -0.000313588
     -3.0853e-05    -2.66287e-05
    -0.000157877    -0.000152358
