QM Energy	FF Energy
     -0.00195043     -0.00192282
     -0.00574275     -0.00568437
     -0.00314487     -0.00313585
     -0.00524386     -0.00519486
    -0.000798178    -0.000810093
     -0.00446239     -0.00448742
     -0.00209822      -0.0020649
     -0.00405777     -0.00406342
     -0.00151964     -0.00151736
    -0.000831737    -0.000837737
     -0.00205572     -0.00203968
     -0.00845256     -0.00835742
     -0.00215601      -0.0021909
     -0.00485591     -0.00490185
    -0.000858866    -0.000842839
     -0.00163496     -0.00158561
     -0.00730147     -0.00736706
    -0.000661482    -0.000588165
    -0.000757232    -0.000708244
     -0.00326531     -0.00326551
     -0.00490803     -0.00501525
     -0.00218517     -0.00217864
     -0.00110687     -0.00110416
     -0.00584073     -0.00585172
    -0.000949166    -0.000922763
    -0.000669983    -0.000601605
     -0.00103996      -0.0009633
     -0.00291079     -0.00292633
     -0.00788449     -0.00791449
     -0.00279709     -0.00281435
     -0.00153807     -0.00147728
     -0.00485708     -0.00499902
     -0.00260513     -0.00260252
     -0.00459276     -0.00455232
     -0.00400704     -0.00414489
     -0.00293198     -0.00293481
    -0.000924188    -0.000923246
     -0.00299038     -0.00297538
     -0.00736801     -0.00752809
     -0.00210368     -0.00203309
     -0.00177151     -0.00177057
     -0.00117141     -0.00113963
     -0.00114377     -0.00112859
     -0.00196635     -0.00194907
     -0.00242103     -0.00236664
    -0.000963319    -0.000934602
     -0.00167706     -0.00168919
     -0.00620725     -0.00616648
      -0.0063016     -0.00619014
      -0.0046421     -0.00461965
     -0.00322414      -0.0032012
     -0.00156812     -0.00157088
     -0.00330163     -0.00330541
     -0.00618186      -0.0061148
     -0.00246525     -0.00247633
     -0.00118848     -0.00123332
    -0.000763482    -0.000737737
     -0.00411587     -0.00408584
     -0.00594787     -0.00595491
    -0.000934366    -0.000874732
     -0.00135598     -0.00130757
      -0.0060239      -0.0060607
     -0.00347216     -0.00352833
     -0.00118256     -0.00112656
     -0.00426868      -0.0041978
     -0.00253001     -0.00250554
     -0.00247471     -0.00248916
     -0.00107273     -0.00101054
     -0.00327698     -0.00326054
     -0.00387166     -0.00399601
     -0.00293042     -0.00291596
     -0.00101436     -0.00097108
     -0.00147553     -0.00147809
       -0.003738     -0.00372862
     -0.00993052     -0.00979543
     -0.00097856     -0.00091624
     -0.00147549     -0.00143421
     -0.00255482     -0.00258321
     -0.00508026     -0.00518612
     -0.00884125     -0.00882389
     -0.00250495     -0.00244829
     -0.00250687     -0.00252266
     -0.00411805     -0.00406911
     -0.00282338     -0.00283612
     -0.00279102     -0.00276476
     -0.00423108      -0.0043361
     -0.00266421     -0.00266746
     -0.00186567     -0.00181461
     -0.00425944     -0.00425641
     -0.00342813     -0.00338598
      -0.0016125     -0.00155391
     -0.00794786     -0.00786284
     -0.00116609      -0.0011055
     -0.00503271     -0.00505327
     -0.00365911     -0.00368338
     -0.00587771     -0.00585831
     -0.00402366     -0.00406652
     -0.00210422     -0.00203049
     -0.00623985     -0.00621059
     -0.00103261     -0.00100616
     -0.00090562    -0.000854345
     -0.00261924     -0.00260812
     -0.00303993     -0.00313016
     -0.00210256     -0.00207011
     -0.00214748     -0.00214372
     -0.00384453      -0.0038776
     -0.00724167     -0.00713487
     -0.00301042     -0.00305309
     -0.00437929     -0.00445996
     -0.00554368     -0.00556394
     -0.00467719     -0.00461541
      -0.0045033     -0.00449408
     -0.00514312     -0.00530291
     -0.00341408     -0.00355702
     -0.00340158     -0.00348136
     -0.00319916     -0.00324549
    -0.000691412     -0.00061142
     -0.00393944     -0.00399746
     -0.00479266     -0.00482279
     -0.00706493     -0.00706876
     -0.00734996     -0.00744564
     -0.00846665     -0.00824856
    -0.000980987     -0.00092685
     -0.00370456     -0.00378125
     -0.00554342     -0.00557504
     -0.00506819     -0.00502465
     -0.00140293     -0.00141631
     -0.00140903     -0.00139365
     -0.00684011     -0.00697432
     -0.00629781     -0.00619523
        -0.00272     -0.00271489
     -0.00678439     -0.00679922
      -0.0031643     -0.00312506
     -0.00164955     -0.00163322
     -0.00188784     -0.00185183
    -0.000693207    -0.000689157
     -0.00100998     -0.00100889
    -0.000987345    -0.000993548
     -0.00211796     -0.00203904
      -0.0035556     -0.00360044
     -0.00469603     -0.00474632
     -0.00645798     -0.00649134
    -0.000675427    -0.000615288
     -0.00336176     -0.00343611
     -0.00206285     -0.00203211
     -0.00305085     -0.00306826
    -0.000896154     -0.00082981
     -0.00120409     -0.00116511
     -0.00569055     -0.00562786
     -0.00436092     -0.00436831
     -0.00209911     -0.00208359
    -0.000753838     -0.00072995
     -0.00341363     -0.00339334
    -0.000873017    -0.000884302
      -0.0058933     -0.00585007
      -0.0023266     -0.00231328
     -0.00371952     -0.00370256
