Edrude_ind 		 Edrude_dhf
     -0.00004969      -0.00000395
     -0.00014596      -0.00001188
     -0.00004738      -0.00000012
     -0.00013710      -0.00000793
     -0.00001472      -0.00000043
     -0.00008001      -0.00001050
     -0.00004170      -0.00000217
     -0.00012277      -0.00000555
     -0.00003309       0.00000048
     -0.00001529       0.00000018
     -0.00002186       0.00000072
     -0.00020400       0.00002159
     -0.00003784      -0.00000141
     -0.00011563       0.00000777
     -0.00001458      -0.00000015
     -0.00002764      -0.00000166
     -0.00017145       0.00000846
     -0.00001095       0.00000066
     -0.00001430      -0.00000054
     -0.00005203      -0.00000165
     -0.00010353      -0.00000775
     -0.00004004       0.00000091
     -0.00001600      -0.00000052
     -0.00012900      -0.00000166
     -0.00001000      -0.00000029
     -0.00000874       0.00000054
     -0.00000983      -0.00000033
     -0.00007750       0.00000249
     -0.00009594       0.00000686
     -0.00003774      -0.00000205
     -0.00001591      -0.00000018
     -0.00008190       0.00000014
     -0.00005413      -0.00000432
     -0.00013191       0.00000024
     -0.00005864       0.00000187
     -0.00006705       0.00000715
     -0.00000500       0.00000022
     -0.00005700      -0.00000160
     -0.00021330      -0.00001334
     -0.00003716      -0.00000066
     -0.00001637       0.00000003
     -0.00001371       0.00000060
     -0.00001273      -0.00000001
     -0.00003765       0.00000123
     -0.00005931      -0.00000271
     -0.00000872      -0.00000007
     -0.00001738       0.00000059
     -0.00011068      -0.00000293
     -0.00015014       0.00001549
     -0.00012182       0.00000386
     -0.00005195      -0.00000012
     -0.00002213      -0.00000061
     -0.00007595       0.00000614
     -0.00020064      -0.00000436
     -0.00006175      -0.00000458
     -0.00002709       0.00000113
     -0.00000565       0.00000015
     -0.00014735      -0.00001740
     -0.00020621      -0.00002951
     -0.00001128      -0.00000040
     -0.00001896      -0.00000087
     -0.00010176       0.00000382
     -0.00002874      -0.00000079
     -0.00003459      -0.00000206
     -0.00014851      -0.00002243
     -0.00004093       0.00000099
     -0.00004462      -0.00000151
     -0.00001628       0.00000052
     -0.00006678      -0.00000010
     -0.00006252       0.00000539
     -0.00004159       0.00000290
     -0.00001366       0.00000000
     -0.00002042      -0.00000079
     -0.00010293       0.00000872
     -0.00034995       0.00000403
     -0.00001433       0.00000057
     -0.00002158       0.00000009
     -0.00002556       0.00000144
     -0.00013454      -0.00000962
     -0.00017968      -0.00001068
     -0.00005957      -0.00000650
     -0.00002677      -0.00000038
     -0.00008412      -0.00000731
     -0.00007701      -0.00000599
     -0.00003796      -0.00000196
     -0.00009114      -0.00000898
     -0.00007707      -0.00000702
     -0.00003442      -0.00000188
     -0.00009707       0.00000213
     -0.00008471       0.00001048
     -0.00002789      -0.00000002
     -0.00023363      -0.00002886
     -0.00001940       0.00000106
     -0.00010551      -0.00000228
     -0.00006100      -0.00000071
     -0.00008264      -0.00000334
     -0.00013509      -0.00001754
     -0.00004474      -0.00000122
     -0.00014033       0.00001198
     -0.00001864      -0.00000081
     -0.00001188      -0.00000029
     -0.00007806      -0.00000539
     -0.00003252       0.00000167
     -0.00002775      -0.00000096
     -0.00002483       0.00000151
     -0.00010797      -0.00000049
     -0.00022654      -0.00000775
     -0.00004585       0.00000385
     -0.00008917      -0.00000065
     -0.00011450      -0.00000545
     -0.00010603      -0.00000062
     -0.00013218       0.00000519
     -0.00010785      -0.00001163
     -0.00003362       0.00000211
     -0.00009992      -0.00000750
     -0.00004890      -0.00000114
     -0.00000658       0.00000010
     -0.00006015      -0.00000495
     -0.00010318       0.00000847
     -0.00020819      -0.00002372
     -0.00024730      -0.00002790
     -0.00022244       0.00000868
     -0.00001046      -0.00000009
     -0.00004256      -0.00000146
     -0.00009789      -0.00000080
     -0.00012297      -0.00000272
     -0.00002356      -0.00000085
     -0.00001048       0.00000023
     -0.00019058      -0.00002972
     -0.00014095       0.00000029
     -0.00005326      -0.00000269
     -0.00022454       0.00001288
     -0.00009935      -0.00000367
     -0.00002627       0.00000016
     -0.00003016       0.00000085
     -0.00000731      -0.00000009
     -0.00002136      -0.00000003
     -0.00001749      -0.00000053
     -0.00003873      -0.00000224
     -0.00007264       0.00000656
     -0.00009073      -0.00000153
     -0.00011765       0.00000161
     -0.00000832      -0.00000023
     -0.00003109      -0.00000098
     -0.00004593      -0.00000335
     -0.00004959      -0.00000019
     -0.00001071       0.00000048
     -0.00001120      -0.00000010
     -0.00017850      -0.00002280
     -0.00010086      -0.00000093
     -0.00002532       0.00000008
