QM Energy	FF Energy
    -0.000855693    -0.000947924
     -0.00340719      -0.0034547
     -0.00132223     -0.00128247
     -0.00416643     -0.00377854
     -0.00021515    -0.000216363
     -0.00298068     -0.00339318
     -0.00084395    -0.000780091
     -0.00253255     -0.00254711
     -5.5643e-05    -6.73828e-05
     -0.00010966    -0.000106203
    -0.000469769    -0.000549054
     -0.00660791     -0.00688214
    -0.000593874    -0.000675715
     -0.00185526     -0.00186263
    -0.000254338    -0.000248927
    -0.000747881    -0.000718858
     -0.00428111     -0.00438582
      6.0654e-05     7.25282e-05
    -0.000272211    -0.000247854
     -0.00149095     -0.00154945
     -0.00287675     -0.00287132
     -0.00029981    -0.000362613
    -0.000267704    -0.000307116
     -0.00348845     -0.00335732
     -4.6644e-05    -9.31037e-05
      6.1372e-05     5.68942e-05
    -0.000320361    -0.000312637
    -0.000994399     -0.00105337
     -0.00536114       -0.005085
     -0.00112688     -0.00118273
    -0.000468729     -0.00044181
     -0.00244779     -0.00260244
     -0.00143644     -0.00142053
     -0.00310083      -0.0028507
     -0.00145739     -0.00166828
    -0.000406241    -0.000455314
    -0.000122967    -0.000154348
      -0.0010054     -0.00104095
     -0.00647726     -0.00662888
    -0.000661901    -0.000638356
    -0.000458328    -0.000500475
     -2.8429e-05    -2.54894e-05
    -0.000132062    -0.000145883
      -8.937e-06    -9.06555e-05
     -0.00122908     -0.00116095
      1.9421e-05    -2.93523e-05
    -0.000163369     -0.00021682
     -0.00476586     -0.00455721
     -0.00358789     -0.00314297
      -0.0026294     -0.00267323
    -0.000920009     -0.00106301
    -0.000417356    -0.000470258
     -0.00133355     -0.00122656
     -0.00479761     -0.00460912
     -0.00116172     -0.00120729
     0.000196169     0.000166426
     -3.2313e-05    -3.41219e-05
     -0.00307443     -0.00321879
     -0.00528864     -0.00511386
    -0.000105907    -0.000141298
    -0.000460288    -0.000435962
     -0.00307176     -0.00313676
     -0.00134722     -0.00148473
    -0.000646733     -0.00058969
     -0.00320761     -0.00348022
    -0.000487718    -0.000458472
    -0.000974227     -0.00101437
     -4.1184e-05    -1.99111e-05
     -0.00158183     -0.00154848
     -0.00135739     -0.00159204
    -0.000207906    -0.000349605
    -0.000157853    -0.000133079
    -0.000362757    -0.000436335
     -0.00174641     -0.00170462
      -0.0088333     -0.00820702
      4.6656e-05      6.0115e-05
    -0.000174193    -0.000147411
    -0.000392039    -0.000462124
     -0.00360677     -0.00369236
     -0.00705169     -0.00706808
     -0.00125487     -0.00145554
    -0.000593058    -0.000707916
     -0.00249156     -0.00258893
     -0.00155333     -0.00160749
    -0.000928319     -0.00111053
     -0.00264757     -0.00267383
     -0.00166137     -0.00162832
    -0.000532409    -0.000608701
     -0.00187705     -0.00189361
    -0.000368868    -0.000513324
    -0.000389352    -0.000360707
     -0.00594073     -0.00620336
     -5.2753e-05    -4.07933e-05
     -0.00252679     -0.00248565
     -0.00155964     -0.00160211
     -0.00349596     -0.00338119
     -0.00290585     -0.00286383
     -0.00102056     -0.00102687
     -0.00319675     -0.00293687
    -0.000314171    -0.000302214
    -0.000155593    -0.000149213
     -0.00146934     -0.00148076
     -0.00118998     -0.00117352
    -0.000855407    -0.000994316
    -0.000149268     -0.00018078
     -0.00179555     -0.00188077
      -0.0058419     -0.00565832
    -0.000606578    -0.000692957
     -0.00223164     -0.00227358
     -0.00390175     -0.00419229
     -0.00223389      -0.0022561
     -0.00249261     -0.00262856
     -0.00339049     -0.00343394
     -0.00143448     -0.00147737
      -0.0019794     -0.00199355
     -0.00102682     -0.00114986
    -0.000112603    -8.11388e-05
     -0.00213856     -0.00211246
      -0.0020933     -0.00212904
     -0.00618804     -0.00645178
     -0.00656044     -0.00686567
     -0.00789818     -0.00726898
    -0.000190169    -0.000189591
     -0.00144321     -0.00162243
     -0.00298676     -0.00312045
      -0.0027467     -0.00263079
    -0.000392258    -0.000431776
      1.6998e-05    -4.59252e-05
     -0.00606094     -0.00602622
     -0.00470839     -0.00437911
     -0.00112644     -0.00108863
     -0.00516369     -0.00536913
     -0.00186207     -0.00179962
    -0.000285117    -0.000312778
    -0.000101907     -9.0728e-05
      2.4281e-05     6.60221e-06
     -0.00022881    -0.000231459
    -0.000237989    -0.000264781
     -0.00117094     -0.00114003
     -0.00111994     -0.00120184
     -0.00208816     -0.00215545
     -0.00407506     -0.00389614
    -0.000103382    -9.36636e-05
     -0.00111375     -0.00128515
    -0.000971632    -0.000954089
    -0.000856043    -0.000978088
     -7.5196e-05    -7.00355e-05
    -0.000230108    -0.000251257
     -0.00397802     -0.00413469
     -0.00177723     -0.00168871
    -0.000387958    -0.000441343
      -6.801e-06     -1.3233e-05
     -0.00156033     -0.00165142
    -0.000182306    -0.000190087
     -0.00424838     -0.00439341
    -0.000285153    -0.000336241
     -0.00123304     -0.00124986
     -0.00226418     -0.00247803
      -0.0130374      -0.0126379
     -0.00030867    -0.000323832
     -0.00494022     -0.00519924
     -0.00273875     -0.00295753
     0.000166506      7.7756e-05
    -0.000317619      -0.0003322
     -0.00041715    -0.000382814
     -9.4573e-05    -0.000158243
    -0.000268501    -0.000270206
    -0.000408971    -0.000439189
     -0.00548646     -0.00554616
     -0.00135717     -0.00135098
    -0.000692773    -0.000644176
     -0.00133486     -0.00153297
     -0.00208982     -0.00200187
    -0.000236754    -0.000259963
    -0.000456137    -0.000436716
     -0.00477426     -0.00493584
     -0.00238691     -0.00259552
      -0.0010564     -0.00105258
    -0.000157063    -0.000296186
    -0.000184496    -0.000189294
     -0.00111998     -0.00118008
    -0.000488064    -0.000516471
    -0.000188121    -0.000207144
    -0.000307805    -0.000333976
     -0.00266853     -0.00281171
     -6.0144e-05    -7.50509e-05
     0.000172624     9.73032e-05
    -0.000176171    -0.000194911
    -0.000413007    -0.000513332
     -0.00179549      -0.0019214
     -0.00190465     -0.00207554
    -0.000177165    -0.000261023
     -0.00249376     -0.00255123
    -0.000119558    -0.000110927
    -0.000179333    -0.000215829
      5.1232e-05     3.26946e-08
    -0.000968847    -0.000875808
       -5.49e-07    -3.39754e-05
    -0.000168967    -0.000158745
      -0.0080858     -0.00793072
    -0.000165584    -0.000182616
     -0.00049141    -0.000535694
     -0.00100595     -0.00112914
      -3.385e-06     -2.4217e-05
    -0.000887917    -0.000940806
      5.4754e-05     5.15942e-05
     -6.3956e-05    -9.42617e-05
     -0.00241845     -0.00234266
     -0.00171298     -0.00167757
     -0.00447906     -0.00440403
    -0.000182299    -0.000249346
      4.0538e-05     3.02613e-05
    -0.000140564    -0.000174037
    -0.000149502    -0.000153729
      4.5419e-05     4.99804e-05
    -0.000915778    -0.000965366
     -0.00283196     -0.00270842
    -0.000491725    -0.000520478
    -0.000386654    -0.000378969
     -0.00195605     -0.00205933
     -0.00422572     -0.00414288
    -0.000983894     -0.00117427
     -0.00059698    -0.000537075
    -0.000634762    -0.000913949
    -0.000416071    -0.000422563
    -0.000241009    -0.000258916
     -0.00626729     -0.00614278
     -0.00146447     -0.00129915
