QM Energy	FF Energy
     -8.1671e-05    -7.54589e-05
    -0.000291479    -0.000312573
    -0.000163916    -0.000161875
    -0.000550053    -0.000484329
     -1.7556e-05    -1.62812e-05
    -0.000260095    -0.000210305
    -0.000102537    -9.07735e-05
    -0.000154274    -0.000189729
     -4.9061e-05    -4.04124e-05
     -2.1205e-05    -1.68717e-05
     -7.3161e-05    -7.12167e-05
    -0.000537324    -0.000437069
     -3.5859e-05    -5.38136e-05
    -0.000142503    -0.000203087
      -1.965e-05    -1.66609e-05
     -5.0932e-05    -4.48429e-05
    -0.000252253    -0.000363113
     -2.3425e-05    -2.08533e-05
     -2.2505e-05    -1.67079e-05
    -0.000143864    -0.000143638
     -0.00034174    -0.000333758
     -5.7075e-05    -5.82924e-05
     -1.8484e-05    -2.01748e-05
    -0.000201999    -0.000279485
     -1.7536e-05    -1.47249e-05
     -1.8609e-05    -1.67461e-05
      -2.465e-05    -1.98832e-05
     -8.6105e-05    -0.000100453
    -0.000469607    -0.000416953
     -8.7275e-05     -9.3853e-05
     -4.1996e-05    -3.81112e-05
    -0.000384866    -0.000395285
    -0.000106547    -9.94323e-05
    -0.000532658    -0.000484691
     -0.00025471    -0.000279422
    -0.000217752    -0.000223965
      -1.065e-05    -1.04822e-05
    -0.000104645    -0.000110948
    -0.000184429    -0.000369647
     -6.1209e-05    -6.14956e-05
     -4.0817e-05    -4.19516e-05
     -2.9024e-05    -2.96463e-05
     -2.0383e-05    -2.21785e-05
     -5.5323e-05    -4.97115e-05
     -9.1472e-05     -8.6752e-05
     -1.6233e-05     -1.3453e-05
      -5.114e-05    -5.03594e-05
    -0.000437979    -0.000415791
    -0.000507274    -0.000517837
    -0.000119902    -0.000184477
    -0.000106865    -0.000108504
      -2.606e-05     -3.2295e-05
    -0.000285442    -0.000284887
    -0.000260956    -0.000340648
     -8.5222e-05    -9.73963e-05
      -4.279e-05    -3.02022e-05
      -9.923e-06    -9.36511e-06
    -0.000303818    -0.000259219
    -0.000495043    -0.000465108
     -2.4782e-05    -1.88318e-05
     -4.2819e-05    -3.67273e-05
    -0.000317322    -0.000339957
      -8.023e-05    -0.000109668
     -5.8871e-05    -4.29746e-05
    -0.000379668    -0.000292853
     -9.7413e-05    -0.000103838
     -6.4373e-05    -7.75382e-05
     -4.0541e-05    -3.59539e-05
    -0.000235373    -0.000230115
    -0.000275933    -0.000285806
    -0.000150296    -0.000157679
     -2.2485e-05     -1.9117e-05
     -2.4875e-05    -2.97446e-05
    -0.000419474    -0.000412493
    -0.000788977    -0.000758031
     -3.4198e-05    -3.01818e-05
      -4.258e-05    -4.15992e-05
     -0.00010209    -0.000103825
    -0.000125527    -0.000235092
    -0.000633782    -0.000603411
    -0.000145747     -0.00011518
     -5.6103e-05    -6.25285e-05
    -0.000227192    -0.000212553
    -0.000114578    -0.000118855
    -0.000111666    -0.000100683
     -0.00025205    -0.000242418
    -0.000135862    -0.000121802
     -6.9331e-05    -6.17371e-05
     -0.00012717    -0.000169083
    -0.000294244     -0.00030512
     -3.9868e-05    -3.71463e-05
    -0.000596918     -0.00054344
     -4.8541e-05    -4.46263e-05
    -0.000202124    -0.000242615
      -9.057e-05    -0.000135478
    -0.000195733    -0.000274981
    -0.000289002    -0.000258612
     -6.5605e-05    -6.49832e-05
    -0.000363702    -0.000436117
     -2.7691e-05    -2.47219e-05
     -2.4133e-05    -1.92813e-05
    -0.000108454    -0.000113353
    -0.000137222    -0.000140149
     -4.7477e-05    -4.95833e-05
     -6.6344e-05    -7.15967e-05
    -0.000118348    -0.000158757
    -0.000327044    -0.000406133
     -0.00015615    -0.000169349
    -0.000134316    -0.000210705
    -0.000202831     -0.00024941
    -0.000125426     -0.00018232
    -0.000145659    -0.000189563
    -0.000381314    -0.000372632
    -0.000162358    -0.000162202
     -0.00010422     -0.00015118
     -6.4936e-05    -9.64751e-05
     -1.5875e-05    -1.29799e-05
    -0.000204191    -0.000205654
    -0.000421654    -0.000405289
    -0.000396319     -0.00041536
    -0.000418849    -0.000456879
    -0.000566486    -0.000574868
     -2.3727e-05    -2.02006e-05
     -7.9226e-05     -0.00010941
    -0.000239511     -0.00026446
    -0.000383594    -0.000362693
     -2.3535e-05    -2.96213e-05
     -2.1922e-05    -1.99517e-05
    -0.000621303    -0.000528836
    -0.000365221    -0.000376033
    -0.000142287    -0.000144076
    -0.000243465     -0.00033714
    -0.000131221    -0.000141904
     -3.6056e-05    -3.69787e-05
     -5.5679e-05    -5.50904e-05
     -1.0391e-05     -8.6853e-06
      -2.842e-05    -2.42006e-05
     -1.9602e-05    -2.00858e-05
     -7.7983e-05     -7.0892e-05
    -0.000286523    -0.000305908
    -0.000201667    -0.000234394
    -0.000284862    -0.000326292
     -1.7218e-05    -1.29268e-05
      -8.304e-05    -9.97586e-05
     -9.1524e-05    -7.89979e-05
     -7.4313e-05    -8.89698e-05
     -2.6596e-05    -2.42437e-05
     -2.3551e-05    -2.40381e-05
    -0.000440465    -0.000388125
    -0.000196624     -0.00022498
     -4.4191e-05     -4.7195e-05
     -1.5112e-05    -1.22226e-05
    -0.000162371    -0.000165575
     -1.8434e-05    -1.71575e-05
    -0.000321559    -0.000346722
      -6.753e-05     -6.7366e-05
    -0.000120673    -0.000139973
    -0.000285296    -0.000299605
     -0.00079677    -0.000753981
     -6.9336e-05     -6.5002e-05
    -0.000410665     -0.00039853
    -0.000160355    -0.000253045
     -3.7612e-05    -3.32795e-05
     -4.5974e-05    -5.25149e-05
     -3.1368e-05    -2.53076e-05
     -1.7683e-05    -1.59859e-05
      -3.881e-05    -3.51524e-05
     -2.7923e-05    -3.61503e-05
    -0.000340238    -0.000380361
    -0.000165202    -0.000173927
     -5.0201e-05    -4.09899e-05
     -6.1736e-05    -8.28017e-05
    -0.000199685    -0.000206876
     -2.4729e-05    -1.99379e-05
     -4.4561e-05    -4.93409e-05
    -0.000257973    -0.000387433
    -0.000322173    -0.000266798
    -0.000139205    -0.000127938
     -6.5548e-05    -6.65714e-05
     -3.6558e-05    -2.99115e-05
    -0.000165004    -0.000165954
     -6.9109e-05    -5.99995e-05
     -2.2064e-05    -2.17608e-05
     -3.5408e-05    -2.85945e-05
    -0.000301506     -0.00025157
     -1.3498e-05    -1.22841e-05
     -3.3885e-05    -3.03866e-05
     -2.5645e-05    -1.99682e-05
     -4.7884e-05    -4.70335e-05
    -0.000181863    -0.000180019
    -0.000141144    -0.000192407
     -4.3028e-05    -4.07742e-05
    -0.000119141      -0.0001681
     -1.7587e-05    -1.53105e-05
     -5.8304e-05     -5.4587e-05
     -2.7886e-05    -2.48586e-05
    -0.000110057    -9.90568e-05
     -3.1506e-05    -3.01487e-05
     -1.7493e-05    -1.33301e-05
    -0.000696467    -0.000603629
     -1.3928e-05    -1.26157e-05
     -8.0836e-05    -7.96786e-05
    -0.000193466    -0.000206605
     -2.1514e-05    -2.02645e-05
    -0.000156169    -0.000176217
     -2.9996e-05    -2.07875e-05
     -2.1151e-05    -1.93839e-05
    -0.000240882    -0.000225932
    -0.000130449    -0.000124243
     -0.00039726    -0.000439499
      -3.437e-05    -3.35361e-05
     -1.3592e-05    -1.22602e-05
     -1.7711e-05    -1.36965e-05
      -3.141e-05    -2.54121e-05
     -2.8603e-05    -2.78195e-05
    -0.000105185    -9.96206e-05
    -0.000400247    -0.000425397
      -5.882e-05     -6.1726e-05
     -2.6456e-05    -2.17871e-05
    -0.000120363    -0.000129395
    -0.000395979    -0.000339555
     -8.2169e-05    -9.08252e-05
     -4.4455e-05    -3.82324e-05
    -0.000157432    -0.000162659
     -3.5314e-05    -2.94193e-05
    -0.000107284    -0.000106639
    -0.000397518    -0.000449827
     -0.00015119      -0.0001453
    -0.000249575     -0.00025981
     -0.00017114    -0.000247159
