# Eelst 		 Emultipole 
     -0.00085569      -0.00035119
     -0.00340719      -0.00032963
     -0.00132223       0.00003818
     -0.00416643      -0.00037446
     -0.00021515      -0.00012943
     -0.00298068      -0.00071856
     -0.00084395      -0.00020289
     -0.00253255      -0.00038043
     -0.00005564       0.00026315
     -0.00010966      -0.00001077
     -0.00046977      -0.00011698
     -0.00660791       0.00154888
     -0.00059387       0.00001542
     -0.00185526       0.00106639
     -0.00025434      -0.00015570
     -0.00074788      -0.00038400
     -0.00428111       0.00092152
      0.00006065       0.00013172
     -0.00027221      -0.00018635
     -0.00149095      -0.00007914
     -0.00287675      -0.00026255
     -0.00029981       0.00036122
     -0.00026770      -0.00012995
     -0.00348845      -0.00018972
     -0.00004664       0.00003505
      0.00006137       0.00010894
     -0.00032036      -0.00018259
     -0.00099440       0.00027330
     -0.00536114       0.00081743
     -0.00112688      -0.00019781
     -0.00046873      -0.00016265
     -0.00244779      -0.00014818
     -0.00143644      -0.00054982
     -0.00310083      -0.00011793
     -0.00145739       0.00010923
     -0.00040624       0.00062750
     -0.00012297      -0.00003497
     -0.00100540      -0.00001148
     -0.00647726      -0.00022145
     -0.00066190      -0.00011471
     -0.00045833      -0.00004571
     -0.00002843       0.00014687
     -0.00013206       0.00002762
     -0.00000894       0.00036724
     -0.00122908      -0.00046859
      0.00001942       0.00010075
     -0.00016337       0.00019819
     -0.00476586      -0.00036510
     -0.00358789       0.00124055
     -0.00262940       0.00009070
     -0.00092001       0.00032892
     -0.00041736      -0.00011209
     -0.00133355       0.00028184
     -0.00479761      -0.00039983
     -0.00116172      -0.00029729
      0.00019617       0.00039445
     -0.00003231       0.00003990
     -0.00307443      -0.00085300
     -0.00528864      -0.00073687
     -0.00010591      -0.00001865
     -0.00046029      -0.00021472
     -0.00307176       0.00045233
     -0.00134722       0.00007544
     -0.00064673      -0.00039402
     -0.00320761      -0.00089910
     -0.00048772       0.00041156
     -0.00097423      -0.00022491
     -0.00004118       0.00013036
     -0.00158183      -0.00005004
     -0.00135739       0.00000135
     -0.00020791       0.00043662
     -0.00015785      -0.00001411
     -0.00036276      -0.00010876
     -0.00174641       0.00016188
     -0.00883330       0.00127170
      0.00004666       0.00018001
     -0.00017419       0.00015523
     -0.00039204       0.00026968
     -0.00360677      -0.00030170
     -0.00705169      -0.00043766
     -0.00125487      -0.00048385
     -0.00059306       0.00014635
     -0.00249156      -0.00059884
     -0.00155333      -0.00045784
     -0.00092832      -0.00015073
     -0.00264757      -0.00065483
     -0.00166137      -0.00063157
     -0.00053241      -0.00009564
     -0.00187705       0.00019171
     -0.00036887       0.00082504
     -0.00038935      -0.00009468
     -0.00594073      -0.00070590
     -0.00005275       0.00012387
     -0.00252679       0.00011375
     -0.00155964      -0.00012757
     -0.00349596      -0.00013201
     -0.00290585      -0.00074643
     -0.00102056      -0.00042581
     -0.00319675       0.00111517
     -0.00031417      -0.00015160
     -0.00015559      -0.00004595
     -0.00146934      -0.00049170
     -0.00118998       0.00008742
     -0.00085541      -0.00035517
     -0.00014927       0.00037934
     -0.00179555       0.00019875
     -0.00584190      -0.00061744
     -0.00060658       0.00033700
     -0.00223164       0.00011587
     -0.00390175      -0.00038320
     -0.00223389      -0.00006547
     -0.00249261       0.00029807
     -0.00339049      -0.00061204
     -0.00143448       0.00009775
     -0.00197940      -0.00032914
     -0.00102682       0.00027050
     -0.00011260      -0.00002972
     -0.00213856      -0.00054935
     -0.00209330       0.00064123
     -0.00618804      -0.00086192
     -0.00656044      -0.00030552
     -0.00789818       0.00048050
     -0.00019017      -0.00008349
     -0.00144321      -0.00010328
     -0.00298676       0.00067976
     -0.00274670       0.00042610
     -0.00039226      -0.00014134
      0.00001700       0.00023892
     -0.00606094      -0.00117794
